#kx	ky	kz
-9.3989126e-02 5.6666933e-01 7.9333148e-02
-1.1291211e-01 5.4448495e-01 7.9333148e-02
-1.3136116e-01 5.2190378e-01 7.9333148e-02
-1.4961898e-01 4.9916742e-01 7.9333148e-02
-1.6787089e-01 4.7642630e-01 7.9333148e-02
-1.8624460e-01 4.5378354e-01 7.9333148e-02
-2.0482792e-01 4.3131258e-01 7.9333148e-02
-2.2368351e-01 4.0906967e-01 7.9333148e-02
-2.4285554e-01 3.8709901e-01 7.9333148e-02
-2.6237147e-01 3.6543332e-01 7.9333148e-02
-2.8224974e-01 3.4409962e-01 7.9333148e-02
-3.0249812e-01 3.2311693e-01 7.9333148e-02
-3.2311693e-01 3.0249812e-01 7.9333148e-02
-3.4409962e-01 2.8224974e-01 7.9333148e-02
-3.6543332e-01 2.6237147e-01 7.9333148e-02
-3.8709901e-01 2.4285554e-01 7.9333148e-02
-4.0906967e-01 2.2368351e-01 7.9333148e-02
-4.3131258e-01 2.0482792e-01 7.9333148e-02
-4.5378354e-01 1.8624460e-01 7.9333148e-02
-4.7642630e-01 1.6787089e-01 7.9333148e-02
-4.9916742e-01 1.4961898e-01 7.9333148e-02
-5.2190378e-01 1.3136116e-01 7.9333148e-02
-5.4448495e-01 1.1291211e-01 7.9333148e-02
-5.6666933e-01 9.3989126e-02 7.9333148e-02
-5.8802232e-01 7.4137212e-02 7.9333148e-02
-6.0764920e-01 5.2593090e-02 7.9333148e-02
-6.2338592e-01 2.8124616e-02 7.9333148e-02
6.2514508e-01 0.0000000e+00 1.5866630e-01
6.1823662e-01 2.8832113e-02 1.5866630e-01
6.0214717e-01 5.3944299e-02 1.5866630e-01
5.8211767e-01 7.6112235e-02 1.5866630e-01
5.6035553e-01 9.6598851e-02 1.5866630e-01
5.3776760e-01 1.1617581e-01 1.5866630e-01
5.1479120e-01 1.3529669e-01 1.5866630e-01
4.9167192e-01 1.5424488e-01 1.5866630e-01
4.6855831e-01 1.7319999e-01 1.5866630e-01
4.4555404e-01 1.9228757e-01 1.5866630e-01
4.2273195e-01 2.1159250e-01 1.5866630e-01
4.0014645e-01 2.3117359e-01 1.5866630e-01
3.7783871e-01 2.5107047e-01 1.5866630e-01
3.5584041e-01 2.7130888e-01 1.5866630e-01
3.3417507e-01 2.9190330e-01 1.5866630e-01
3.1285972e-01 3.1285972e-01 1.5866630e-01
2.9190330e-01 3.3417507e-01 1.5866630e-01
2.7130888e-01 3.5584041e-01 1.5866630e-01
2.5107047e-01 3.7783871e-01 1.5866630e-01
2.3117359e-01 4.0014645e-01 1.5866630e-01
2.1159250e-01 4.2273195e-01 1.5866630e-01
1.9228757e-01 4.4555404e-01 1.5866630e-01
1.7319999e-01 4.6855831e-01 1.5866630e-01
1.5424488e-01 4.9167192e-01 1.5866630e-01
1.3529669e-01 5.1479120e-01 1.5866630e-01
1.1617581e-01 5.3776760e-01 1.5866630e-01
9.6598851e-02 5.6035553e-01 1.5866630e-01
7.6112235e-02 5.8211767e-01 1.5866630e-01
5.3944299e-02 6.0214717e-01 1.5866630e-01
2.8832113e-02 6.1823662e-01 1.5866630e-01
3.8279096e-17 -6.2514508e-01 1.5866630e-01
2.8832113e-02 -6.1823662e-01 1.5866630e-01
5.3944299e-02 -6.0214717e-01 1.5866630e-01
7.6112235e-02 -5.8211767e-01 1.5866630e-01
9.6598851e-02 -5.6035553e-01 1.5866630e-01
1.1617581e-01 -5.3776760e-01 1.5866630e-01
1.3529669e-01 -5.1479120e-01 1.5866630e-01
1.5424488e-01 -4.9167192e-01 1.5866630e-01
1.7319999e-01 -4.6855831e-01 1.5866630e-01
1.9228757e-01 -4.4555404e-01 1.5866630e-01
2.1159250e-01 -4.2273195e-01 1.5866630e-01
2.3117359e-01 -4.0014645e-01 1.5866630e-01
2.5107047e-01 -3.7783871e-01 1.5866630e-01
2.7130888e-01 -3.5584041e-01 1.5866630e-01
2.9190330e-01 -3.3417507e-01 1.5866630e-01
3.1285972e-01 -3.1285972e-01 1.5866630e-01
3.3417507e-01 -2.9190330e-01 1.5866630e-01
3.5584041e-01 -2.7130888e-01 1.5866630e-01
3.7783871e-01 -2.5107047e-01 1.5866630e-01
4.0014645e-01 -2.3117359e-01 1.5866630e-01
4.2273195e-01 -2.1159250e-01 1.5866630e-01
4.4555404e-01 -1.9228757e-01 1.5866630e-01
4.6855831e-01 -1.7319999e-01 1.5866630e-01
4.9167192e-01 -1.5424488e-01 1.5866630e-01
5.1479120e-01 -1.3529669e-01 1.5866630e-01
5.3776760e-01 -1.1617581e-01 1.5866630e-01
5.6035553e-01 -9.6598851e-02 1.5866630e-01
5.8211767e-01 -7.6112235e-02 1.5866630e-01
6.0214717e-01 -5.3944299e-02 1.5866630e-01
6.1823662e-01 -2.8832113e-02 1.5866630e-01
-6.2514508e-01 -7.6558192e-17 1.5866630e-01
-6.1823662e-01 -2.8832113e-02 1.5866630e-01
-6.0214717e-01 -5.3944299e-02 1.5866630e-01
-5.8211767e-01 -7.6112235e-02 1.5866630e-01
-5.6035553e-01 -9.6598851e-02 1.5866630e-01
-5.3776760e-01 -1.1617581e-01 1.5866630e-01
-5.1479120e-01 -1.3529669e-01 1.5866630e-01
-4.9167192e-01 -1.5424488e-01 1.5866630e-01
-4.6855831e-01 -1.7319999e-01 1.5866630e-01
-4.4555404e-01 -1.9228757e-01 1.5866630e-01
-4.2273195e-01 -2.1159250e-01 1.5866630e-01
-4.0014645e-01 -2.3117359e-01 1.5866630e-01
-3.7783871e-01 -2.5107047e-01 1.5866630e-01
-3.5584041e-01 -2.7130888e-01 1.5866630e-01
-3.3417507e-01 -2.9190330e-01 1.5866630e-01
-3.1285972e-01 -3.1285972e-01 1.5866630e-01
-2.9190330e-01 -3.3417507e-01 1.5866630e-01
-2.7130888e-01 -3.5584041e-01 1.5866630e-01
-2.5107047e-01 -3.7783871e-01 1.5866630e-01
-2.3117359e-01 -4.0014645e-01 1.5866630e-01
-2.1159250e-01 -4.2273195e-01 1.5866630e-01
-1.9228757e-01 -4.4555404e-01 1.5866630e-01
-1.7319999e-01 -4.6855831e-01 1.5866630e-01
-1.5424488e-01 -4.9167192e-01 1.5866630e-01
-1.3529669e-01 -5.1479120e-01 1.5866630e-01
-1.1617581e-01 -5.3776760e-01 1.5866630e-01
-9.6598851e-02 -5.6035553e-01 1.5866630e-01
-7.6112235e-02 -5.8211767e-01 1.5866630e-01
-5.3944299e-02 -6.0214717e-01 1.5866630e-01
-2.8832113e-02 -6.1823662e-01 1.5866630e-01
-1.1483729e-16 6.2514508e-01 1.5866630e-01
-2.8832113e-02 6.1823662e-01 1.5866630e-01
-5.3944299e-02 6.0214717e-01 1.5866630e-01
-7.6112235e-02 5.8211767e-01 1.5866630e-01
-9.6598851e-02 5.6035553e-01 1.5866630e-01
-1.1617581e-01 5.3776760e-01 1.5866630e-01
-1.3529669e-01 5.1479120e-01 1.5866630e-01
-1.5424488e-01 4.9167192e-01 1.5866630e-01
-1.7319999e-01 4.6855831e-01 1.5866630e-01
-1.9228757e-01 4.4555404e-01 1.5866630e-01
-2.1159250e-01 4.2273195e-01 1.5866630e-01
